state,county,candidate,party,total_votes,won,Vote_Share_Of_Each_Party,"Vote_Share_Scale_(0:Dem,1:Rep)"
Delaware,Kent County,Joe Biden,DEM,44552,TRUE,0.520704527,0.479295473
Delaware,New Castle County,Joe Biden,DEM,195034,TRUE,0.688198223,0.311801777
Delaware,Sussex County,Donald Trump,REP,71230,TRUE,0.556867221,0.556867221
District of Columbia,District of Columbia,Joe Biden,DEM,39041,TRUE,0.957685326,0.042314674
District of Columbia,Ward 2,Joe Biden,DEM,29078,TRUE,0.9088011,0.0911989
District of Columbia,Ward 3,Joe Biden,DEM,39397,TRUE,0.914041112,0.085958888
District of Columbia,Ward 4,Joe Biden,DEM,42489,TRUE,0.956916355,0.043083645
District of Columbia,Ward 5,Joe Biden,DEM,43320,TRUE,0.960766484,0.039233516
District of Columbia,Ward 6,Joe Biden,DEM,56719,TRUE,0.92896685,0.07103315
District of Columbia,Ward 7,Joe Biden,DEM,36382,TRUE,0.969772897,0.030227103
District of Columbia,Ward 8,Joe Biden,DEM,30897,TRUE,0.966074667,0.033925333
Florida,Alachua County,Joe Biden,DEM,89704,TRUE,0.637663852,0.362336148
Florida,Baker County,Donald Trump,REP,11911,TRUE,0.853957557,0.853957557
Florida,Bay County,Donald Trump,REP,66097,TRUE,0.72070962,0.72070962
Florida,Bradford County,Donald Trump,REP,10334,TRUE,0.765821847,0.765821847
Florida,Brevard County,Donald Trump,REP,207883,TRUE,0.583233267,0.583233267
Florida,Broward County,Joe Biden,DEM,618752,TRUE,0.64983968,0.35016032
Florida,Calhoun County,Donald Trump,REP,5274,TRUE,0.813512263,0.813512263
Florida,Charlotte County,Donald Trump,REP,73243,TRUE,0.634050694,0.634050694
Florida,Citrus County,Donald Trump,REP,65352,TRUE,0.706936091,0.706936091
Florida,Clay County,Donald Trump,REP,84480,TRUE,0.68796469,0.68796469
Florida,Collier County,Donald Trump,REP,128950,TRUE,0.624240576,0.624240576
Florida,Columbia County,Donald Trump,REP,23836,TRUE,0.727816794,0.727816794
Florida,DeSoto County,Donald Trump,REP,8313,TRUE,0.661231308,0.661231308
Florida,Dixie County,Donald Trump,REP,6759,TRUE,0.831979321,0.831979321
Florida,Duval County,Joe Biden,DEM,252556,TRUE,0.519322748,0.480677252
Florida,Escambia County,Donald Trump,REP,96674,TRUE,0.576803518,0.576803518
Florida,Flagler County,Donald Trump,REP,43043,TRUE,0.604502556,0.604502556
Florida,Franklin County,Donald Trump,REP,4675,TRUE,0.688005887,0.688005887
Florida,Gadsden County,Joe Biden,DEM,16153,TRUE,0.683927513,0.316072487
Florida,Gilchrist County,Donald Trump,REP,7895,TRUE,0.822824388,0.822824388
Florida,Glades County,Donald Trump,REP,3782,TRUE,0.731952777,0.731952777
Florida,Gulf County,Donald Trump,REP,6113,TRUE,0.754877748,0.754877748
Florida,Hamilton County,Donald Trump,REP,3815,TRUE,0.660263067,0.660263067
Florida,Hardee County,Donald Trump,REP,6122,TRUE,0.727078385,0.727078385
Florida,Hendry County,Donald Trump,REP,7906,TRUE,0.615971952,0.615971952
Florida,Hernando County,Donald Trump,REP,70412,TRUE,0.652379761,0.652379761
Florida,Highlands County,Donald Trump,REP,34873,TRUE,0.673081006,0.673081006
Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE,0.534790733,0.465209267
Florida,Holmes County,Donald Trump,REP,8080,TRUE,0.897378943,0.897378943
Florida,Indian River County,Donald Trump,REP,58872,TRUE,0.608710038,0.608710038
Florida,Jackson County,Donald Trump,REP,15488,TRUE,0.69596477,0.69596477
Florida,Jefferson County,Donald Trump,REP,4479,TRUE,0.53474212,0.53474212
Florida,Lafayette County,Donald Trump,REP,3128,TRUE,0.859813084,0.859813084
Florida,Lake County,Donald Trump,REP,125859,TRUE,0.601149195,0.601149195
Florida,Lee County,Donald Trump,REP,233247,TRUE,0.596628144,0.596628144
Florida,Leon County,Joe Biden,DEM,103517,TRUE,0.643082562,0.356917438
Florida,Levy County,Donald Trump,REP,16749,TRUE,0.729676745,0.729676745
Florida,Liberty County,Donald Trump,REP,2846,TRUE,0.803954802,0.803954802
Florida,Madison County,Donald Trump,REP,5576,TRUE,0.598090743,0.598090743
Florida,Manatee County,Donald Trump,REP,124987,TRUE,0.580921484,0.580921484
Florida,Marion County,Donald Trump,REP,127826,TRUE,0.630666456,0.630666456
Florida,Martin County,Donald Trump,REP,61168,TRUE,0.623774997,0.623774997
Florida,Miami-Dade County,Joe Biden,DEM,617864,TRUE,0.536947607,0.463052393
Florida,Monroe County,Donald Trump,REP,25693,TRUE,0.5400639,0.5400639
Florida,Nassau County,Donald Trump,REP,42566,TRUE,0.73225529,0.73225529
Florida,Okaloosa County,Donald Trump,REP,79798,TRUE,0.699700121,0.699700121
Florida,Okeechobee County,Donald Trump,REP,11470,TRUE,0.723203026,0.723203026
Florida,Orange County,Joe Biden,DEM,395014,TRUE,0.616812302,0.383187698
Florida,Osceola County,Joe Biden,DEM,97297,TRUE,0.569731287,0.430268713
Florida,Palm Beach County,Joe Biden,DEM,433572,TRUE,0.564338922,0.435661078
Florida,Pasco County,Donald Trump,REP,179621,TRUE,0.601354564,0.601354564
Florida,Pinellas County,Joe Biden,DEM,277450,TRUE,0.501120726,0.498879274
Florida,Polk County,Donald Trump,REP,194586,TRUE,0.572926818,0.572926818
Florida,Putnam County,Donald Trump,REP,25514,TRUE,0.707915985,0.707915985
Florida,St. Johns County,Donald Trump,REP,110946,TRUE,0.634717042,0.634717042
Florida,St. Lucie County,Donald Trump,REP,86831,TRUE,0.507878667,0.507878667
Florida,Santa Rosa County,Donald Trump,REP,77385,TRUE,0.737021058,0.737021058
Florida,Sarasota County,Donald Trump,REP,148370,TRUE,0.552629619,0.552629619
Florida,Seminole County,Joe Biden,DEM,132528,TRUE,0.514134749,0.485865251
Florida,Sumter County,Donald Trump,REP,62761,TRUE,0.681429285,0.681429285
Florida,Suwannee County,Donald Trump,REP,16410,TRUE,0.785355348,0.785355348
Florida,Taylor County,Donald Trump,REP,7751,TRUE,0.771243781,0.771243781
Florida,Union County,Donald Trump,REP,5133,TRUE,0.829776916,0.829776916
Florida,Volusia County,Donald Trump,REP,173821,TRUE,0.571035756,0.571035756
Florida,Wakulla County,Donald Trump,REP,12874,TRUE,0.706392318,0.706392318
Florida,Walton County,Donald Trump,REP,32947,TRUE,0.761164376,0.761164376
Florida,Washington County,Donald Trump,REP,9876,TRUE,0.807984946,0.807984946
Georgia,Appling County,Donald Trump,REP,6570,TRUE,0.786449605,0.786449605
Georgia,Atkinson County,Donald Trump,REP,2300,TRUE,0.736,0.736
Georgia,Bacon County,Donald Trump,REP,4017,TRUE,0.865359759,0.865359759
Georgia,Baker County,Donald Trump,REP,897,TRUE,0.57908328,0.57908328
Georgia,Baldwin County,Joe Biden,DEM,9140,TRUE,0.506567644,0.493432356
Georgia,Banks County,Donald Trump,REP,7795,TRUE,0.893204996,0.893204996
Georgia,Barrow County,Donald Trump,REP,26804,TRUE,0.719435274,0.719435274
Georgia,Bartow County,Donald Trump,REP,37672,TRUE,0.757028314,0.757028314
Georgia,Ben Hill County,Donald Trump,REP,4111,TRUE,0.632072571,0.632072571
Georgia,Berrien County,Donald Trump,REP,6419,TRUE,0.834937565,0.834937565
Georgia,Bibb County,Joe Biden,DEM,43408,TRUE,0.620406763,0.379593237
Georgia,Bleckley County,Donald Trump,REP,4329,TRUE,0.767417125,0.767417125
Georgia,Brantley County,Donald Trump,REP,6993,TRUE,0.909008189,0.909008189
Georgia,Brooks County,Donald Trump,REP,4261,TRUE,0.604225752,0.604225752
Georgia,Bryan County,Donald Trump,REP,14240,TRUE,0.678806369,0.678806369
Georgia,Bulloch County,Donald Trump,REP,18387,TRUE,0.620448794,0.620448794
Georgia,Burke County,Donald Trump,REP,5400,TRUE,0.509049774,0.509049774
Georgia,Butts County,Donald Trump,REP,8406,TRUE,0.719691781,0.719691781
Georgia,Calhoun County,Joe Biden,DEM,1263,TRUE,0.577767612,0.422232388
Georgia,Camden County,Donald Trump,REP,15249,TRUE,0.656831496,0.656831496
Georgia,Candler County,Donald Trump,REP,3133,TRUE,0.711721945,0.711721945
Georgia,Carroll County,Donald Trump,REP,37476,TRUE,0.69772118,0.69772118
Georgia,Catoosa County,Donald Trump,REP,25167,TRUE,0.784043117,0.784043117
Georgia,Charlton County,Donald Trump,REP,3419,TRUE,0.755747126,0.755747126
Georgia,Chatham County,Joe Biden,DEM,78247,TRUE,0.59512926,0.40487074
Georgia,Chattahoochee County,Donald Trump,REP,880,TRUE,0.568842922,0.568842922
Georgia,Chattooga County,Donald Trump,REP,8064,TRUE,0.813067151,0.813067151
Georgia,Cherokee County,Donald Trump,REP,99585,TRUE,0.699509708,0.699509708
Georgia,Clarke County,Joe Biden,DEM,36055,TRUE,0.713889714,0.286110286
Georgia,Clay County,Joe Biden,DEM,791,TRUE,0.553921569,0.446078431
Georgia,Clayton County,Joe Biden,DEM,95466,TRUE,0.857913136,0.142086864
Georgia,Clinch County,Donald Trump,REP,2105,TRUE,0.738855739,0.738855739
Georgia,Cobb County,Joe Biden,DEM,221847,TRUE,0.572829171,0.427170829
Georgia,Coffee County,Donald Trump,REP,10578,TRUE,0.701040493,0.701040493
Georgia,Colquitt County,Donald Trump,REP,11777,TRUE,0.737583767,0.737583767
Georgia,Columbia County,Donald Trump,REP,50013,TRUE,0.631118683,0.631118683
Georgia,Cook County,Donald Trump,REP,4900,TRUE,0.704124156,0.704124156
Georgia,Coweta County,Donald Trump,REP,51501,TRUE,0.680231406,0.680231406
Georgia,Crawford County,Donald Trump,REP,4428,TRUE,0.732748635,0.732748635
Georgia,Crisp County,Donald Trump,REP,4985,TRUE,0.625706037,0.625706037
Georgia,Dade County,Donald Trump,REP,6066,TRUE,0.82789682,0.82789682
Georgia,Dawson County,Donald Trump,REP,13398,TRUE,0.843490305,0.843490305
Georgia,Decatur County,Donald Trump,REP,6755,TRUE,0.585507498,0.585507498
Georgia,DeKalb County,Joe Biden,DEM,308162,TRUE,0.840734547,0.159265453
Georgia,Dodge County,Donald Trump,REP,5843,TRUE,0.72900811,0.72900811
Georgia,Dooly County,Donald Trump,REP,2159,TRUE,0.53046683,0.53046683
Georgia,Dougherty County,Joe Biden,DEM,24568,TRUE,0.701762404,0.298237596
Georgia,Douglas County,Joe Biden,DEM,42814,TRUE,0.627145954,0.372854046
Georgia,Early County,Donald Trump,REP,2710,TRUE,0.525193798,0.525193798
Georgia,Echols County,Donald Trump,REP,1256,TRUE,0.882642305,0.882642305
Georgia,Effingham County,Donald Trump,REP,23361,TRUE,0.751665111,0.751665111
Georgia,Elbert County,Donald Trump,REP,6226,TRUE,0.68380011,0.68380011
Georgia,Emanuel County,Donald Trump,REP,6553,TRUE,0.694247272,0.694247272
Georgia,Evans County,Donald Trump,REP,2888,TRUE,0.685660019,0.685660019
Georgia,Fannin County,Donald Trump,REP,12169,TRUE,0.825632675,0.825632675
Georgia,Fayette County,Donald Trump,REP,37956,TRUE,0.534456053,0.534456053
Georgia,Floyd County,Donald Trump,REP,28906,TRUE,0.708081229,0.708081229
Georgia,Forsyth County,Donald Trump,REP,85123,TRUE,0.668517486,0.668517486
Georgia,Franklin County,Donald Trump,REP,9069,TRUE,0.850590884,0.850590884
Georgia,Fulton County,Joe Biden,DEM,380212,TRUE,0.734767392,0.265232608
Georgia,Gilmer County,Donald Trump,REP,13429,TRUE,0.82079335,0.82079335
Georgia,Glascock County,Donald Trump,REP,1402,TRUE,0.900449583,0.900449583
Georgia,Glynn County,Donald Trump,REP,25617,TRUE,0.617291983,0.617291983
Georgia,Gordon County,Donald Trump,REP,19405,TRUE,0.815713145,0.815713145
Georgia,Grady County,Donald Trump,REP,7034,TRUE,0.660283488,0.660283488
Georgia,Greene County,Donald Trump,REP,7066,TRUE,0.633551511,0.633551511
Georgia,Gwinnett County,Joe Biden,DEM,241994,TRUE,0.592550331,0.407449669
Georgia,Habersham County,Donald Trump,REP,16637,TRUE,0.823654636,0.823654636
Georgia,Hall County,Donald Trump,REP,64183,TRUE,0.719411316,0.719411316
Georgia,Hancock County,Joe Biden,DEM,2976,TRUE,0.720581114,0.279418886
Georgia,Haralson County,Donald Trump,REP,12330,TRUE,0.873167623,0.873167623
Georgia,Harris County,Donald Trump,REP,14319,TRUE,0.724059466,0.724059466
Georgia,Hart County,Donald Trump,REP,9465,TRUE,0.74988116,0.74988116
Georgia,Heard County,Donald Trump,REP,4519,TRUE,0.845779525,0.845779525
Georgia,Henry County,Joe Biden,DEM,73443,TRUE,0.603465843,0.396534157
Georgia,Houston County,Donald Trump,REP,41540,TRUE,0.563032841,0.563032841
Georgia,Irwin County,Donald Trump,REP,3134,TRUE,0.756639305,0.756639305
Georgia,Jackson County,Donald Trump,REP,29502,TRUE,0.794260177,0.794260177
Georgia,Jasper County,Donald Trump,REP,5822,TRUE,0.767770012,0.767770012
Georgia,Jeff Davis County,Donald Trump,REP,4695,TRUE,0.82037393,0.82037393
Georgia,Jefferson County,Joe Biden,DEM,4058,TRUE,0.534298881,0.465701119
Georgia,Jenkins County,Donald Trump,REP,2161,TRUE,0.630580683,0.630580683
Georgia,Johnson County,Donald Trump,REP,2850,TRUE,0.699901768,0.699901768
Georgia,Jones County,Donald Trump,REP,9940,TRUE,0.670624747,0.670624747
Georgia,Lamar County,Donald Trump,REP,6331,TRUE,0.707295274,0.707295274
Georgia,Lanier County,Donald Trump,REP,2509,TRUE,0.7111678,0.7111678
Georgia,Laurens County,Donald Trump,REP,14493,TRUE,0.642220942,0.642220942
Georgia,Lee County,Donald Trump,REP,12007,TRUE,0.724841533,0.724841533
Georgia,Liberty County,Joe Biden,DEM,13104,TRUE,0.622133599,0.377866401
Georgia,Lincoln County,Donald Trump,REP,3173,TRUE,0.689033659,0.689033659
Georgia,Long County,Donald Trump,REP,3527,TRUE,0.634124416,0.634124416
Georgia,Lowndes County,Donald Trump,REP,25692,TRUE,0.560862731,0.560862731
Georgia,Lumpkin County,Donald Trump,REP,12163,TRUE,0.795539277,0.795539277
Georgia,McDuffie County,Donald Trump,REP,6169,TRUE,0.596788236,0.596788236
Georgia,McIntosh County,Donald Trump,REP,4016,TRUE,0.605914303,0.605914303
Georgia,Macon County,Joe Biden,DEM,2858,TRUE,0.615815557,0.384184443
Georgia,Madison County,Donald Trump,REP,11326,TRUE,0.768541766,0.768541766
Georgia,Marion County,Donald Trump,REP,2275,TRUE,0.634234737,0.634234737
Georgia,Meriwether County,Donald Trump,REP,6524,TRUE,0.603459439,0.603459439
Georgia,Miller County,Donald Trump,REP,2066,TRUE,0.734186212,0.734186212
Georgia,Mitchell County,Donald Trump,REP,4935,TRUE,0.552755376,0.552755376
Georgia,Monroe County,Donald Trump,REP,11057,TRUE,0.716034192,0.716034192
Georgia,Montgomery County,Donald Trump,REP,2960,TRUE,0.751269036,0.751269036
Georgia,Morgan County,Donald Trump,REP,8231,TRUE,0.710549033,0.710549033
Georgia,Murray County,Donald Trump,REP,12944,TRUE,0.849065267,0.849065267
Georgia,Muscogee County,Joe Biden,DEM,49446,TRUE,0.621547899,0.378452101
Georgia,Newton County,Joe Biden,DEM,29789,TRUE,0.555164188,0.444835812
Georgia,Oconee County,Donald Trump,REP,16595,TRUE,0.670315466,0.670315466
Georgia,Oglethorpe County,Donald Trump,REP,5592,TRUE,0.69630183,0.69630183
Georgia,Paulding County,Donald Trump,REP,54517,TRUE,0.647378046,0.647378046
Georgia,Peach County,Donald Trump,REP,6506,TRUE,0.523495333,0.523495333
Georgia,Pickens County,Donald Trump,REP,14110,TRUE,0.833234912,0.833234912
Georgia,Pierce County,Donald Trump,REP,7898,TRUE,0.877750611,0.877750611
Georgia,Pike County,Donald Trump,REP,9127,TRUE,0.8584462,0.8584462
Georgia,Polk County,Donald Trump,REP,13587,TRUE,0.787926235,0.787926235
Georgia,Pulaski County,Donald Trump,REP,2815,TRUE,0.69592089,0.69592089
Georgia,Putnam County,Donald Trump,REP,8291,TRUE,0.706278218,0.706278218
Georgia,Quitman County,Donald Trump,REP,604,TRUE,0.548592189,0.548592189
Georgia,Rabun County,Donald Trump,REP,7474,TRUE,0.790230493,0.790230493
Georgia,Randolph County,Joe Biden,DEM,1671,TRUE,0.545900033,0.454099967
Georgia,Richmond County,Joe Biden,DEM,59119,TRUE,0.688238513,0.311761487
Georgia,Rockdale County,Joe Biden,DEM,31237,TRUE,0.705904951,0.294095049
Georgia,Schley County,Donald Trump,REP,1800,TRUE,0.795755968,0.795755968
Georgia,Screven County,Donald Trump,REP,3915,TRUE,0.595346715,0.595346715
Georgia,Seminole County,Donald Trump,REP,2613,TRUE,0.675368312,0.675368312
Georgia,Spalding County,Donald Trump,REP,18104,TRUE,0.604837632,0.604837632
Georgia,Stephens County,Donald Trump,REP,9367,TRUE,0.796988003,0.796988003
Georgia,Stewart County,Joe Biden,DEM,1182,TRUE,0.596066566,0.403933434
Georgia,Sumter County,Joe Biden,DEM,6314,TRUE,0.524113887,0.475886113
Georgia,Talbot County,Joe Biden,DEM,2114,TRUE,0.602966343,0.397033657
Georgia,Taliaferro County,Joe Biden,DEM,561,TRUE,0.609120521,0.390879479
Georgia,Tattnall County,Donald Trump,REP,6054,TRUE,0.745933958,0.745933958
Georgia,Taylor County,Donald Trump,REP,2420,TRUE,0.635504202,0.635504202
Georgia,Telfair County,Donald Trump,REP,2825,TRUE,0.654996522,0.654996522
Georgia,Terrell County,Joe Biden,DEM,2376,TRUE,0.542465753,0.457534247
Georgia,Thomas County,Donald Trump,REP,12969,TRUE,0.598283895,0.598283895
Georgia,Tift County,Donald Trump,REP,10784,TRUE,0.669730468,0.669730468
Georgia,Toombs County,Donald Trump,REP,7873,TRUE,0.728239756,0.728239756
Georgia,Towns County,Donald Trump,REP,6384,TRUE,0.804638266,0.804638266
Georgia,Treutlen County,Donald Trump,REP,2101,TRUE,0.688175565,0.688175565
Georgia,Troup County,Donald Trump,REP,18142,TRUE,0.610451226,0.610451226
Georgia,Turner County,Donald Trump,REP,2349,TRUE,0.625066525,0.625066525
Georgia,Twiggs County,Donald Trump,REP,2370,TRUE,0.536927957,0.536927957
Georgia,Union County,Donald Trump,REP,12650,TRUE,0.818770227,0.818770227
Georgia,Upson County,Donald Trump,REP,8606,TRUE,0.67187134,0.67187134
Georgia,Walker County,Donald Trump,REP,23173,TRUE,0.800642642,0.800642642
Georgia,Walton County,Donald Trump,REP,37839,TRUE,0.748960849,0.748960849
Georgia,Ware County,Donald Trump,REP,9903,TRUE,0.703737919,0.703737919
Georgia,Warren County,Joe Biden,DEM,1468,TRUE,0.557327259,0.442672741
Georgia,Washington County,Joe Biden,DEM,4743,TRUE,0.503984699,0.496015301
Georgia,Wayne County,Donald Trump,REP,9987,TRUE,0.787928994,0.787928994
Georgia,Webster County,Donald Trump,REP,748,TRUE,0.538904899,0.538904899
Georgia,Wheeler County,Donald Trump,REP,1583,TRUE,0.696742958,0.696742958
Georgia,White County,Donald Trump,REP,12222,TRUE,0.835235427,0.835235427
Georgia,Whitfield County,Donald Trump,REP,25644,TRUE,0.705979518,0.705979518
Georgia,Wilcox County,Donald Trump,REP,2402,TRUE,0.736132394,0.736132394
Georgia,Wilkes County,Donald Trump,REP,2823,TRUE,0.566526189,0.566526189
Georgia,Wilkinson County,Donald Trump,REP,2665,TRUE,0.562354927,0.562354927
Georgia,Worth County,Donald Trump,REP,6830,TRUE,0.740379404,0.740379404
Hawaii,Hawaii County,Joe Biden,DEM,58731,TRUE,0.685885458,0.314114542
Hawaii,Honolulu County,Joe Biden,DEM,238869,TRUE,0.63676665,0.36323335
Hawaii,Kauai County,Joe Biden,DEM,21225,TRUE,0.646965587,0.353034413
Hawaii,Maui County,Joe Biden,DEM,47305,TRUE,0.681323904,0.318676096
Idaho,Ada County,Donald Trump,REP,130699,TRUE,0.520219871,0.520219871
Idaho,Adams County,Donald Trump,REP,1941,TRUE,0.766587678,0.766587678
Idaho,Bannock County,Donald Trump,REP,23331,TRUE,0.613763712,0.613763712
Idaho,Bear Lake County,Donald Trump,REP,2914,TRUE,0.892769608,0.892769608
Idaho,Benewah County,Donald Trump,REP,3878,TRUE,0.798764161,0.798764161
Idaho,Bingham County,Donald Trump,REP,15295,TRUE,0.787630671,0.787630671
Idaho,Blaine County,Joe Biden,DEM,8919,TRUE,0.688672689,0.311327311
Idaho,Boise County,Donald Trump,REP,3485,TRUE,0.743228833,0.743228833
Idaho,Bonner County,Donald Trump,REP,18369,TRUE,0.68851906,0.68851906
Idaho,Bonneville County,Donald Trump,REP,37805,TRUE,0.726195278,0.726195278
Idaho,Boundary County,Donald Trump,REP,4937,TRUE,0.801851551,0.801851551
Idaho,Butte County,Donald Trump,REP,1202,TRUE,0.864748201,0.864748201
Idaho,Camas County,Donald Trump,REP,507,TRUE,0.772865854,0.772865854
Idaho,Canyon County,Donald Trump,REP,61759,TRUE,0.704689639,0.704689639
Idaho,Caribou County,Donald Trump,REP,2906,TRUE,0.870842074,0.870842074
Idaho,Cassia County,Donald Trump,REP,7907,TRUE,0.843773343,0.843773343
Idaho,Clark County,Donald Trump,REP,264,TRUE,0.86557377,0.86557377
Idaho,Clearwater County,Donald Trump,REP,3453,TRUE,0.797459584,0.797459584
Idaho,Custer County,Donald Trump,REP,2089,TRUE,0.776002972,0.776002972
Idaho,Elmore County,Donald Trump,REP,7246,TRUE,0.735858637,0.735858637
Idaho,Franklin County,Donald Trump,REP,5845,TRUE,0.898954168,0.898954168
Idaho,Fremont County,Donald Trump,REP,5548,TRUE,0.847540483,0.847540483
Idaho,Gem County,Donald Trump,REP,7951,TRUE,0.815152758,0.815152758
Idaho,Gooding County,Donald Trump,REP,4659,TRUE,0.787658495,0.787658495
Idaho,Idaho County,Donald Trump,REP,7826,TRUE,0.833706189,0.833706189
Idaho,Jefferson County,Donald Trump,REP,12099,TRUE,0.879287791,0.879287791
Idaho,Jerome County,Donald Trump,REP,5734,TRUE,0.751802806,0.751802806
Idaho,Kootenai County,Donald Trump,REP,62837,TRUE,0.721029501,0.721029501
Idaho,Latah County,Joe Biden,DEM,10236,TRUE,0.519382992,0.480617008
Idaho,Lemhi County,Donald Trump,REP,3592,TRUE,0.776816609,0.776816609
Idaho,Lewis County,Donald Trump,REP,1489,TRUE,0.810119695,0.810119695
Idaho,Lincoln County,Donald Trump,REP,1469,TRUE,0.780138078,0.780138078
Idaho,Madison County,Donald Trump,REP,13559,TRUE,0.83568567,0.83568567
Idaho,Minidoka County,Donald Trump,REP,6265,TRUE,0.801663468,0.801663468
Idaho,Nez Perce County,Donald Trump,REP,13738,TRUE,0.672640031,0.672640031
Idaho,Oneida County,Donald Trump,REP,2148,TRUE,0.89612015,0.89612015
Idaho,Owyhee County,Donald Trump,REP,3819,TRUE,0.82394822,0.82394822
Idaho,Payette County,Donald Trump,REP,8862,TRUE,0.803955366,0.803955366
Idaho,Power County,Donald Trump,REP,2116,TRUE,0.709828916,0.709828916
Idaho,Shoshone County,Donald Trump,REP,4216,TRUE,0.7134879,0.7134879
Idaho,Teton County,Joe Biden,DEM,3318,TRUE,0.537240933,0.462759067
Idaho,Twin Falls County,Donald Trump,REP,25897,TRUE,0.733875538,0.733875538
Idaho,Valley County,Donald Trump,REP,3947,TRUE,0.570128557,0.570128557
Idaho,Washington County,Donald Trump,REP,4154,TRUE,0.794719725,0.794719725
Illinois,Adams County,Donald Trump,REP,24220,TRUE,0.737223389,0.737223389
Illinois,Alexander County,Donald Trump,REP,1486,TRUE,0.571538462,0.571538462
Illinois,Bond County,Donald Trump,REP,5625,TRUE,0.710855554,0.710855554
Illinois,Boone County,Donald Trump,REP,13883,TRUE,0.56839304,0.56839304
Illinois,Brown County,Donald Trump,REP,1931,TRUE,0.798924286,0.798924286
Illinois,Bureau County,Donald Trump,REP,10411,TRUE,0.609543326,0.609543326
Illinois,Calhoun County,Donald Trump,REP,2046,TRUE,0.751377158,0.751377158
Illinois,Carroll County,Donald Trump,REP,5105,TRUE,0.650070037,0.650070037
Illinois,Cass County,Donald Trump,REP,3625,TRUE,0.691793893,0.691793893
Illinois,Champaign County,Joe Biden,DEM,57067,TRUE,0.617929227,0.382070773
Illinois,Christian County,Donald Trump,REP,11563,TRUE,0.727324192,0.727324192
Illinois,Clark County,Donald Trump,REP,6226,TRUE,0.757513079,0.757513079
Illinois,Clay County,Donald Trump,REP,5629,TRUE,0.832938739,0.832938739
Illinois,Clinton County,Donald Trump,REP,14304,TRUE,0.760972496,0.760972496
Illinois,Coles County,Donald Trump,REP,14037,TRUE,0.635043431,0.635043431
Illinois,Cook County,Joe Biden,DEM,1725973,TRUE,0.755599888,0.244400112
Illinois,Crawford County,Donald Trump,REP,7043,TRUE,0.761817198,0.761817198
Illinois,Cumberland County,Donald Trump,REP,4601,TRUE,0.801149225,0.801149225
Illinois,DeKalb County,Joe Biden,DEM,24643,TRUE,0.529410501,0.470589499
Illinois,De Witt County,Donald Trump,REP,5632,TRUE,0.719928416,0.719928416
Illinois,Douglas County,Donald Trump,REP,6227,TRUE,0.727283345,0.727283345
Illinois,DuPage County,Joe Biden,DEM,281222,TRUE,0.59225454,0.40774546
Illinois,Edgar County,Donald Trump,REP,6193,TRUE,0.766460396,0.766460396
Illinois,Edwards County,Donald Trump,REP,2833,TRUE,0.853056308,0.853056308
Illinois,Effingham County,Donald Trump,REP,15006,TRUE,0.801516932,0.801516932
Illinois,Fayette County,Donald Trump,REP,8055,TRUE,0.815200891,0.815200891
Illinois,Ford County,Donald Trump,REP,5048,TRUE,0.742134666,0.742134666
Illinois,Franklin County,Donald Trump,REP,13622,TRUE,0.741051028,0.741051028
Illinois,Fulton County,Donald Trump,REP,9867,TRUE,0.602748931,0.602748931
Illinois,Gallatin County,Donald Trump,REP,2019,TRUE,0.76448315,0.76448315
Illinois,Greene County,Donald Trump,REP,4770,TRUE,0.77953914,0.77953914
Illinois,Grundy County,Donald Trump,REP,16523,TRUE,0.631878848,0.631878848
Illinois,Hamilton County,Donald Trump,REP,3432,TRUE,0.806390977,0.806390977
Illinois,Hancock County,Donald Trump,REP,6906,TRUE,0.748942631,0.748942631
Illinois,Hardin County,Donald Trump,REP,1691,TRUE,0.790186916,0.790186916
Illinois,Henderson County,Donald Trump,REP,2394,TRUE,0.668528344,0.668528344
Illinois,Henry County,Donald Trump,REP,15300,TRUE,0.609634618,0.609634618
Illinois,Iroquois County,Donald Trump,REP,10877,TRUE,0.789046065,0.789046065
Illinois,Jackson County,Joe Biden,DEM,11181,TRUE,0.506592361,0.493407639
Illinois,Jasper County,Donald Trump,REP,4494,TRUE,0.816942374,0.816942374
Illinois,Jefferson County,Donald Trump,REP,12476,TRUE,0.730273941,0.730273941
Illinois,Jersey County,Donald Trump,REP,8712,TRUE,0.746337702,0.746337702
Illinois,Jo Daviess County,Donald Trump,REP,7166,TRUE,0.583788187,0.583788187
Illinois,Johnson County,Donald Trump,REP,5059,TRUE,0.797949527,0.797949527
Illinois,Kane County,Joe Biden,DEM,130166,TRUE,0.573567579,0.426432421
Illinois,Kankakee County,Donald Trump,REP,28532,TRUE,0.58463619,0.58463619
Illinois,Kendall County,Joe Biden,DEM,33168,TRUE,0.529332908,0.470667092
Illinois,Knox County,Donald Trump,REP,12009,TRUE,0.528751321,0.528751321
Illinois,Lake County,Joe Biden,DEM,204032,TRUE,0.622758878,0.377241122
Illinois,LaSalle County,Donald Trump,REP,30113,TRUE,0.572980687,0.572980687
Illinois,Lawrence County,Donald Trump,REP,4886,TRUE,0.774940523,0.774940523
Illinois,Lee County,Donald Trump,REP,9630,TRUE,0.600486375,0.600486375
Illinois,Livingston County,Donald Trump,REP,12208,TRUE,0.725673186,0.725673186
Illinois,Logan County,Donald Trump,REP,9136,TRUE,0.704069051,0.704069051
